Representation,Number Of Cities,Population Size,Child Population Size,Generation Gap,Mutation Rate,Algorithm,Selection,Termination,City Coordinates,Original Solution,Final Solution,Algorithm Efficiency,Checked
Pa,20,2000,50,25,0.01,RoMPPaDiPaCo20,"['Ro', None]","['Co', 50]","[(648, 461), (594, 832), (454, 397), (416, 290), (103, 425), (645, 657), (867, 539), (861, 772), (285, 145), (835, 251), (111, 767), (752, 943), (380, 695), (977, 211), (402, 168), (9, 656), (40, 599), (640, 347), (50, 451), (509, 619)]","[7, 1, 2, 20, 15, 5, 16, 11, 18, 4, 3, 6, 8, 13, 12, 19, 17, 9, 14, 10, 7]","[16, 11, 13, 20, 6, 2, 12, 8, 7, 14, 10, 18, 1, 3, 4, 15, 9, 5, 19, 17, 16]",106,FALSE
Pa,20,2000,50,25,0.01,RoMPPaDiPaCo20,"['Ro', None]","['Co', 50]","[(648, 461), (594, 832), (454, 397), (416, 290), (103, 425), (645, 657), (867, 539), (861, 772), (285, 145), (835, 251), (111, 767), (752, 943), (380, 695), (977, 211), (402, 168), (9, 656), (40, 599), (640, 347), (50, 451), (509, 619)]","[7, 14, 15, 18, 3, 9, 17, 16, 20, 2, 6, 1, 13, 19, 5, 11, 4, 8, 12, 10, 7]","[16, 11, 13, 20, 6, 2, 12, 8, 7, 14, 10, 18, 1, 3, 4, 15, 9, 5, 19, 17, 16]",98,FALSE
Pa,20,2000,50,25,0.01,RoMPPaDiPaCo20,"['Ro', None]","['Co', 50]","[(648, 461), (594, 832), (454, 397), (416, 290), (103, 425), (645, 657), (867, 539), (861, 772), (285, 145), (835, 251), (111, 767), (752, 943), (380, 695), (977, 211), (402, 168), (9, 656), (40, 599), (640, 347), (50, 451), (509, 619)]","[12, 2, 8, 6, 19, 5, 9, 3, 20, 18, 14, 7, 13, 15, 4, 1, 10, 11, 16, 17, 12]","[19, 17, 16, 11, 13, 20, 6, 2, 12, 8, 7, 14, 10, 18, 1, 3, 4, 15, 9, 5, 19]",95,FALSE
Pa,20,2000,50,25,0.01,RoMPPaDiPaCo20,"['Ro', None]","['Co', 50]","[(639, 299), (254, 250), (495, 811), (185, 792), (165, 899), (551, 628), (938, 886), (596, 70), (99, 917), (973, 561), (887, 796), (891, 189), (874, 855), (381, 702), (899, 944), (628, 395), (160, 716), (281, 315), (20, 37), (718, 30)]","[15, 16, 20, 18, 19, 17, 2, 4, 6, 9, 5, 3, 8, 12, 1, 10, 14, 11, 7, 13, 15]","[6, 3, 15, 7, 13, 11, 10, 16, 1, 12, 20, 8, 19, 2, 18, 17, 4, 9, 5, 14, 6]",86,FALSE
Pa,70,25000,30,20,0,RoMPPaDiPaCo70,"['Ro', None]","['Co', 50]","[(456, 814), (374, 707), (46, 130), (645, 134), (603, 637), (37, 151), (563, 269), (870, 485), (404, 361), (664, 487), (934, 98), (217, 217), (463, 572), (388, 540), (454, 951), (877, 123), (519, 72), (708, 880), (216, 455), (539, 207), (321, 784), (384, 910), (430, 756), (700, 282), (299, 609), (59, 579), (164, 201), (429, 705), (943, 311), (383, 422), (186, 937), (316, 107), (173, 919), (331, 191), (192, 990), (13, 403), (638, 323), (63, 465), (801, 910), (245, 486), (668, 512), (236, 547), (882, 762), (812, 24), (907, 554), (682, 706), (729, 527), (64, 681), (165, 1000), (219, 145), (990, 665), (467, 851), (200, 884), (629, 239), (122, 701), (276, 583), (180, 511), (401, 27), (929, 294), (577, 921), (220, 546), (662, 816), (901, 897), (995, 732), (862, 907), (595, 498), (759, 142), (274, 86), (175, 606), (881, 423)]","[1, 69, 32, 12, 9, 19, 53, 24, 47, 20, 67, 41, 38, 26, 34, 40, 49, 56, 57, 39, 16, 63, 28, 13, 55, 50, 60, 52, 23, 25, 45, 65, 22, 14, 6, 48, 37, 10, 43, 70, 17, 11, 66, 31, 8, 51, 4, 29, 7, 27, 30, 21, 64, 5, 36, 3, 61, 44, 68, 58, 54, 59, 46, 2, 42, 62, 18, 35, 15, 33, 1]","[17, 58, 34, 32, 68, 50, 12, 27, 3, 6, 36, 38, 26, 48, 49, 35, 31, 33, 53, 55, 69, 57, 19, 40, 61, 42, 56, 25, 14, 30, 9, 7, 20, 54, 37, 24, 4, 67, 44, 16, 11, 59, 29, 70, 8, 45, 47, 41, 10, 66, 13, 28, 2, 21, 23, 1, 52, 22, 15, 60, 62, 18, 39, 65, 63, 64, 51, 43, 46, 5, 17]",293,FALSE
Pa,70,25000,30,20,0.001,RoMPPaDiPaCo70,"['Ro', None]","['Co', 50]","[(350, 48), (928, 91), (186, 859), (108, 651), (336, 631), (308, 999), (377, 978), (920, 188), (896, 774), (987, 520), (649, 201), (212, 677), (420, 29), (977, 896), (552, 982), (833, 881), (351, 259), (619, 153), (841, 707), (952, 160), (956, 893), (852, 917), (675, 861), (357, 34), (356, 778), (378, 755), (727, 936), (167, 963), (252, 872), (754, 2), (404, 562), (465, 878), (693, 113), (904, 210), (524, 783), (236, 921), (192, 24), (838, 618), (355, 327), (856, 87), (464, 393), (88, 615), (423, 893), (267, 312), (44, 380), (402, 850), (562, 145), (48, 712), (675, 956), (221, 549), (536, 647), (733, 907), (529, 529), (485, 799), (239, 488), (967, 603), (921, 110), (527, 71), (425, 787), (284, 380), (890, 726), (382, 92), (892, 876), (343, 537), (89, 709), (173, 559), (957, 719), (683, 571), (452, 361), (119, 517)]","[67, 15, 45, 41, 8, 20, 57, 69, 33, 12, 5, 52, 48, 16, 13, 31, 7, 59, 1, 2, 19, 68, 10, 14, 61, 49, 56, 9, 11, 39, 40, 30, 37, 24, 53, 46, 27, 26, 51, 21, 22, 60, 17, 34, 65, 62, 43, 18, 3, 42, 36, 28, 54, 66, 32, 35, 70, 4, 55, 50, 29, 44, 58, 47, 64, 38, 25, 63, 6, 23, 67]","[26, 25, 46, 43, 32, 23, 49, 27, 52, 16, 22, 63, 21, 14, 9, 67, 61, 19, 38, 68, 56, 10, 34, 8, 20, 57, 2, 40, 30, 33, 11, 18, 47, 58, 13, 62, 1, 24, 37, 17, 44, 60, 39, 69, 41, 53, 51, 35, 54, 59, 15, 7, 6, 28, 36, 29, 3, 12, 65, 48, 4, 42, 70, 45, 66, 50, 55, 64, 31, 5, 26]",334,FALSE
Pa,70,25000,30,20,0,RoMPPaDiPaCo70,"['Ro', None]","['Co', 50]","[(648, 635), (923, 412), (791, 79), (630, 243), (660, 162), (86, 254), (303, 537), (346, 459), (589, 107), (45, 430), (774, 586), (288, 1), (598, 888), (71, 905), (737, 444), (135, 778), (49, 482), (565, 726), (123, 369), (637, 744), (808, 710), (801, 332), (213, 187), (336, 497), (203, 953), (506, 586), (556, 728), (974, 997), (914, 124), (394, 994), (811, 974), (596, 316), (610, 482), (564, 820), (235, 106), (133, 154), (346, 621), (389, 78), (54, 945), (151, 430), (315, 995), (591, 523), (450, 999), (568, 755), (934, 315), (700, 431), (498, 904), (931, 251), (330, 201), (814, 602), (851, 512), (85, 715), (56, 235), (5, 304), (509, 841), (103, 445), (987, 927), (343, 1), (705, 134), (710, 701), (831, 469), (644, 857), (123, 428), (214, 697), (289, 896), (225, 727), (927, 199), (919, 584), (192, 973), (520, 639)]","[28, 32, 3, 29, 67, 45, 15, 60, 20, 14, 35, 50, 24, 41, 30, 31, 2, 8, 63, 48, 49, 53, 54, 10, 18, 23, 6, 65, 1, 33, 26, 36, 70, 37, 5, 64, 46, 13, 56, 66, 52, 19, 22, 62, 17, 69, 25, 44, 27, 47, 55, 42, 11, 4, 7, 38, 21, 51, 9, 59, 58, 40, 16, 39, 57, 43, 12, 34, 68, 61, 28]","[7, 24, 8, 40, 63, 56, 17, 10, 19, 54, 53, 6, 36, 23, 49, 35, 12, 58, 38, 9, 32, 4, 5, 59, 3, 29, 67, 48, 45, 2, 22, 61, 51, 68, 50, 11, 15, 46, 33, 42, 26, 70, 27, 18, 44, 20, 1, 60, 21, 57, 28, 31, 62, 13, 34, 55, 47, 43, 30, 41, 65, 25, 69, 39, 14, 16, 52, 64, 66, 37, 7]",347,FALSE
Pa,70,25000,30,20,0.001,RoMPPaDiPaCo70,"['Ro', None]","['Co', 50]","[(36, 694), (640, 446), (96, 358), (545, 554), (116, 362), (268, 502), (707, 375), (755, 977), (252, 805), (398, 291), (688, 468), (122, 602), (998, 733), (822, 489), (725, 78), (535, 486), (390, 717), (805, 694), (242, 189), (105, 496), (562, 204), (558, 233), (725, 947), (727, 208), (372, 488), (6, 213), (49, 649), (655, 835), (173, 229), (262, 161), (545, 293), (178, 781), (378, 429), (73, 38), (761, 887), (80, 891), (276, 600), (120, 123), (65, 276), (822, 290), (446, 294), (344, 611), (909, 417), (719, 35), (960, 274), (774, 684), (234, 444), (207, 456), (36, 888), (547, 53), (316, 706), (656, 954), (561, 586), (348, 688), (693, 535), (51, 631), (546, 542), (814, 515), (877, 848), (688, 375), (951, 967), (355, 984), (807, 235), (373, 332), (265, 466), (537, 623), (694, 842), (129, 113), (957, 909), (151, 628)]","[54, 58, 63, 55, 16, 46, 40, 31, 25, 23, 21, 34, 26, 27, 38, 10, 39, 50, 19, 29, 44, 15, 7, 47, 20, 8, 3, 30, 48, 32, 53, 51, 36, 28, 14, 43, 59, 67, 52, 60, 22, 12, 9, 49, 1, 62, 61, 5, 41, 65, 42, 24, 69, 18, 64, 68, 11, 33, 4, 70, 35, 17, 57, 66, 45, 2, 6, 37, 56, 13, 54]","[10, 64, 33, 25, 37, 32, 36, 49, 56, 1, 27, 70, 12, 20, 5, 3, 39, 26, 34, 38, 68, 29, 19, 30, 47, 48, 65, 6, 42, 54, 17, 51, 9, 62, 52, 28, 67, 35, 23, 8, 61, 69, 59, 13, 18, 46, 66, 53, 4, 57, 16, 2, 60, 7, 11, 55, 58, 14, 43, 45, 40, 63, 24, 15, 44, 50, 21, 22, 31, 41, 10]",298,FALSE
Pa,70,25000,30,20,0.01,RoMPPaDiPaCo70,"['Ro', None]","['Co', 50]","[(107, 553), (9, 37), (706, 515), (281, 69), (551, 220), (192, 671), (239, 688), (167, 235), (901, 100), (65, 468), (996, 768), (137, 174), (466, 223), (150, 212), (993, 159), (599, 635), (980, 592), (58, 231), (851, 631), (903, 252), (348, 401), (80, 268), (465, 382), (659, 974), (480, 114), (630, 214), (26, 79), (363, 185), (380, 776), (88, 250), (618, 592), (541, 15), (409, 461), (537, 448), (119, 444), (81, 138), (187, 973), (248, 739), (65, 817), (264, 422), (862, 288), (390, 655), (924, 207), (185, 979), (472, 231), (493, 499), (758, 687), (889, 963), (567, 725), (761, 589), (361, 258), (673, 12), (114, 473), (114, 939), (227, 365), (597, 713), (237, 588), (171, 451), (746, 550), (862, 706), (765, 33), (573, 128), (798, 411), (831, 975), (239, 280), (385, 305), (226, 340), (341, 1), (895, 279), (330, 756)]","[38, 55, 10, 22, 31, 3, 45, 42, 13, 68, 54, 44, 18, 23, 6, 50, 56, 28, 47, 65, 9, 66, 5, 61, 46, 43, 52, 69, 14, 48, 29, 1, 30, 26, 62, 12, 25, 4, 51, 32, 20, 41, 58, 21, 40, 53, 16, 7, 70, 37, 39, 24, 36, 63, 17, 11, 49, 27, 2, 8, 15, 34, 59, 64, 67, 35, 60, 19, 33, 57, 38]","[32, 62, 26, 5, 13, 45, 23, 33, 46, 42, 29, 70, 37, 44, 54, 39, 38, 7, 6, 57, 1, 10, 53, 35, 58, 30, 22, 18, 27, 2, 36, 12, 14, 8, 65, 67, 55, 40, 21, 66, 51, 28, 4, 68, 25, 34, 31, 16, 56, 49, 24, 64, 48, 11, 17, 19, 60, 47, 50, 59, 3, 63, 41, 69, 20, 43, 15, 9, 61, 52, 32]",312,FALSE
Pa,70,25000,30,20,0.1,RoMPPaDiPaCo70,"['Ro', None]","['Co', 50]","[(610, 376), (577, 197), (256, 83), (758, 736), (517, 730), (156, 474), (882, 946), (912, 703), (780, 87), (748, 752), (522, 239), (87, 289), (714, 947), (236, 931), (533, 674), (20, 280), (9, 24), (500, 769), (276, 262), (707, 444), (208, 533), (141, 505), (251, 232), (938, 200), (929, 166), (260, 680), (667, 347), (382, 185), (468, 866), (256, 737), (723, 865), (51, 246), (331, 742), (290, 837), (390, 37), (93, 892), (830, 976), (382, 808), (19, 53), (532, 637), (111, 831), (769, 432), (191, 281), (405, 123), (352, 923), (831, 822), (994, 927), (783, 279), (595, 173), (396, 811), (884, 770), (991, 231), (255, 351), (233, 820), (57, 68), (309, 229), (505, 218), (938, 504), (479, 732), (763, 389), (360, 945), (402, 242), (798, 123), (420, 141), (28, 858), (557, 666), (485, 794), (409, 468), (799, 103), (679, 406)]","[15, 5, 54, 61, 50, 1, 21, 68, 29, 2, 36, 33, 45, 9, 60, 58, 10, 3, 64, 30, 46, 49, 35, 44, 39, 6, 32, 55, 23, 47, 14, 34, 63, 51, 8, 4, 20, 17, 43, 52, 25, 48, 57, 62, 18, 67, 42, 53, 66, 40, 12, 70, 11, 24, 13, 37, 31, 69, 19, 28, 22, 65, 7, 59, 16, 56, 26, 41, 38, 27, 15]","[22, 6, 53, 19, 56, 28, 64, 44, 35, 3, 55, 17, 39, 32, 16, 12, 43, 23, 62, 57, 11, 2, 49, 9, 69, 63, 25, 24, 52, 58, 48, 60, 42, 20, 70, 27, 1, 68, 33, 38, 50, 67, 18, 59, 5, 15, 40, 66, 4, 10, 46, 51, 8, 47, 7, 37, 13, 31, 29, 61, 45, 14, 36, 65, 41, 54, 34, 30, 26, 21, 22]",319,FALSE
